epochs,train_loss,train_acc,val_acc
1,2.568068685268843,0.24533155648521449,0.6020152836951376
2,0.8526368078049736,0.7222044162547865,0.8069926286603097
3,0.5157940631479611,0.8379750678969653,0.8700885913302225
4,0.383392096823295,0.8807543732393178,0.8984919185771285
5,0.31307132434619017,0.9023042796174153,0.9045783458443227
6,0.18295622823179086,0.9433292285892613,0.9310204909717995
7,0.15221818031075168,0.9530540982776944,0.9333198079394063
8,0.13494381238036202,0.9584015114454885,0.931493879759248
9,0.1206432044364004,0.9624078541185203,0.9335903158179482
10,0.10974214849403616,0.9662202054621211,0.9308176100628931
