epochs,train_loss,train_acc,val_acc
1,2.175215115392343,0.3419223697306051,0.497869750456482
2,0.6375222854589012,0.793205242826538,0.6981808345168053
3,0.39791507029492695,0.873222449014018,0.73950091296409
4,0.29575095929591366,0.9049864206069398,0.7855548792858592
5,0.22714323283053806,0.9268737032101347,0.7881247041320079
6,0.11521298770328886,0.9635718020951064,0.8159193886521945
7,0.07299592705599281,0.9767041716570233,0.8175424359234462
8,0.04965080477570789,0.9838228100065788,0.7969162101846217
9,0.0350346038616119,0.9885882491860799,0.7973895989720701
10,0.027748221177730396,0.9905619001028998,0.8024616216947319
