epochs,train_loss,train_acc,val_acc
1,2.7317658546083794,0.20692970766350097,0.4129979035639413
2,0.9542778684584736,0.6856497022654814,0.6945289781564888
3,0.512746716846424,0.8347784281641673,0.7785893014134037
4,0.3632355327802266,0.8824075167422951,0.804828565631974
5,0.27734260348431045,0.9097602941920683,0.808277541083384
6,0.10351338467450508,0.9672745061655506,0.8368837492391966
7,0.060812577531999965,0.9816720365715828,0.8383039156015419
8,0.03585717052825495,0.990393211990351,0.8284303780347603
9,0.019159878284092966,0.9957912315919097,0.8294447825792927
10,0.00877924189541573,0.99868423272212,0.8339757895448705
