epochs,train_loss,train_acc,val_acc
1,3.279673718,0.080430492,0.099208764
2,2.446152174,0.274615813,0.643064854
3,0.908948748,0.703690896,0.791235545
4,0.582978808,0.815716671,0.856901332
5,0.452257072,0.858124863,0.882937716
6,0.281889928,0.913252138,0.907553933
7,0.246286584,0.923239136,0.912625955
8,0.225448969,0.929437763,0.916683573
9,0.211069171,0.934540578,0.91451951
10,0.194510381,0.939592787,0.915939677
11,0.298668912,0.917299562,0.870748299
11,0.335902298,0.893431285,0.889565159
12,0.302364772,0.904235759,0.906336647
13,0.267266298,0.916263221,0.908974099
14,0.23936769,0.923550547,0.908703591
15,0.217091531,0.937729439,0.917495097
16,0.124225449,0.961623454,0.931967269
17,0.099760165,0.969290329,0.933116927
18,0.08771077,0.973085812,0.934334212
19,0.077793786,0.976324623,0.934401839
20,0.071442676,0.977690997,0.934266586
21,0.059252111,0.982456436,0.934334212
22,0.056919157,0.983350483,0.934063705
23,0.056027063,0.983476999,0.933252181
24,0.05455878,0.983620384,0.934469466
25,0.053950402,0.983949326,0.932981673
