                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.71292,                0.40701,                0.90562,                 0.9124,                0.87785,                0.93568,                0.71999,                0.86942,                0.56805,                0.99111,             0.00065942,             0.00065942,             0.00065942
                      2,                0.74869,                0.46663,                0.91626,                0.92279,                0.87116,                0.93135,                0.71066,                0.89176,                0.59585,                 1.0228,              0.0011948,              0.0011948,              0.0011948
                      3,                0.79119,                0.50372,                0.93734,                0.88336,                0.87016,                0.92558,                0.71301,                0.91189,                0.61585,                 1.0065,              0.0015982,              0.0015982,              0.0015982
                      4,                 0.7954,                0.49792,                0.94285,                0.92289,                0.84519,                0.93663,                0.72246,                0.86617,                0.60457,                 1.0021,               0.001406,               0.001406,               0.001406
                      5,                0.81322,                0.49342,                 0.9374,                0.92434,                0.87472,                0.94268,                 0.7134,                0.92277,                0.58645,                 1.0145,               0.001406,               0.001406,               0.001406
                      6,                0.81049,                0.49283,                0.94528,                0.89776,                0.88383,                0.93757,                0.71629,                0.89553,                0.60975,                 1.0042,               0.001208,               0.001208,               0.001208
                      7,                 0.7872,                0.47176,                0.93647,                0.90072,                0.90661,                0.94855,                0.73634,                0.85886,                0.56774,                0.98446,                0.00101,                0.00101,                0.00101
                      8,                0.75873,                 0.4471,                0.92467,                0.90132,                0.90205,                 0.9496,                0.73586,                0.86834,                 0.5388,                0.98708,               0.000812,               0.000812,               0.000812
                      9,                0.71245,                0.42526,                0.90499,                0.90293,                0.92027,                0.95965,                0.75563,                0.82803,                 0.4977,                0.97803,               0.000614,               0.000614,               0.000614
                     10,                0.71983,                0.41539,                0.91248,                0.90302,                  0.918,                0.96048,                0.77042,                0.80796,                0.49225,                0.97088,               0.000416,               0.000416,               0.000416
