                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2263,                 1.3854,                 1.2173,                0.74119,                0.65376,                0.72735,                0.45965,                 1.2662,                 1.7676,                 1.3989,             0.00065942,             0.00065942,             0.00065942
                      2,                 1.2406,                 1.0888,                 1.2447,                 0.5676,                0.53225,                0.53414,                0.35359,                 1.2528,                 3.6665,                 1.3862,              0.0012998,              0.0012998,              0.0012998
                      3,                 1.2906,                  1.162,                 1.2893,                0.75354,                0.66859,                0.74247,                 0.4346,                 1.3782,                 1.9522,                 1.4562,              0.0019138,              0.0019138,              0.0019138
                      4,                 1.2378,                  1.047,                  1.257,                0.76327,                0.70506,                0.74177,                0.50308,                 1.1257,                 1.3342,                 1.2277,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2087,                0.99472,                  1.242,                0.82094,                0.67882,                0.77854,                0.53092,                 1.1651,                 1.3666,                 1.3025,              0.0018812,              0.0018812,              0.0018812
                      6,                 1.1501,                0.89259,                 1.2124,                0.76116,                0.57631,                0.64985,                0.43386,                 1.2534,                 1.4264,                 1.3615,              0.0018416,              0.0018416,              0.0018416
                      7,                 1.1055,                0.83698,                 1.1836,                0.86026,                0.81333,                0.88968,                0.63445,                 1.0402,                0.80901,                 1.2104,               0.001802,               0.001802,               0.001802
                      8,                 1.0886,                0.82163,                 1.1808,                0.88342,                0.75951,                0.85295,                0.59947,                  1.095,                0.89256,                 1.2679,              0.0017624,              0.0017624,              0.0017624
                      9,                 1.0647,                 0.7787,                 1.1693,                0.87306,                0.81321,                0.86986,                0.62927,                0.99464,                0.84066,                 1.1831,              0.0017228,              0.0017228,              0.0017228
                     10,                 1.0303,                0.75113,                 1.1456,                 0.9275,                0.84515,                0.92494,                0.68797,                0.95425,                0.71399,                 1.1486,              0.0016832,              0.0016832,              0.0016832
                     11,                 1.0224,                0.72198,                 1.1407,                0.90915,                0.86622,                 0.9343,                0.69351,                0.94697,                0.67345,                 1.1388,              0.0016436,              0.0016436,              0.0016436
                     12,                0.99039,                 0.6941,                 1.1218,                0.88627,                0.83429,                0.89201,                0.67115,                0.94777,                0.76842,                 1.1229,               0.001604,               0.001604,               0.001604
                     13,                0.96985,                0.68533,                 1.1105,                0.89677,                0.85421,                0.92194,                0.70654,                0.87437,                0.68959,                 1.1022,              0.0015644,              0.0015644,              0.0015644
                     14,                0.94093,                0.67063,                  1.092,                0.89042,                 0.8656,                 0.9328,                0.70425,                0.91518,                0.63649,                 1.1315,              0.0015248,              0.0015248,              0.0015248
                     15,                0.96066,                0.64259,                 1.1098,                0.94216,                0.85343,                0.94315,                0.71757,                0.88745,                0.61868,                 1.1123,              0.0014852,              0.0014852,              0.0014852
                     16,                0.94182,                0.63242,                 1.0944,                0.92125,                0.85269,                0.93064,                0.71398,                0.88677,                0.65381,                 1.1237,              0.0014456,              0.0014456,              0.0014456
                     17,                0.93069,                0.61885,                 1.0865,                0.93888,                0.84738,                0.93166,                0.71008,                 0.9062,                0.64634,                 1.1217,               0.001406,               0.001406,               0.001406
                     18,                0.91132,                 0.6087,                 1.0867,                0.90524,                0.89222,                0.94571,                 0.7364,                0.87313,                0.57302,                 1.1128,              0.0013664,              0.0013664,              0.0013664
                     19,                0.88397,                0.56951,                 1.0687,                0.93131,                0.86473,                0.93252,                0.71104,                0.90817,                0.62416,                 1.1369,              0.0013268,              0.0013268,              0.0013268
                     20,                0.88961,                  0.594,                 1.0686,                0.92856,                0.85868,                0.93344,                0.72277,                0.85824,                0.61219,                 1.1049,              0.0012872,              0.0012872,              0.0012872
                     21,                0.87701,                0.54867,                 1.0596,                0.93363,                0.86522,                0.94586,                0.73542,                 0.8573,                0.57129,                 1.0901,              0.0012476,              0.0012476,              0.0012476
                     22,                0.86619,                0.55744,                 1.0609,                0.93806,                0.86251,                0.93494,                0.72811,                0.85873,                 0.5946,                 1.1018,               0.001208,               0.001208,               0.001208
                     23,                0.85359,                0.54555,                  1.046,                 0.9128,                 0.8861,                0.95163,                0.74806,                0.86304,                 0.5598,                 1.1007,              0.0011684,              0.0011684,              0.0011684
                     24,                0.83287,                0.51756,                  1.037,                0.90892,                0.89294,                0.95155,                0.75037,                0.86601,                0.57565,                 1.0941,              0.0011288,              0.0011288,              0.0011288
                     25,                0.83665,                0.52705,                 1.0464,                0.90058,                0.90786,                0.95225,                0.73938,                0.85195,                0.55779,                 1.0968,              0.0010892,              0.0010892,              0.0010892
                     26,                0.80467,                0.51208,                 1.0277,                0.92121,                0.88838,                0.94548,                0.74318,                0.82547,                0.55674,                 1.0861,              0.0010496,              0.0010496,              0.0010496
                     27,                0.82054,                0.51387,                 1.0418,                0.92837,                0.88573,                0.94743,                0.74583,                0.84034,                 0.5744,                 1.0824,                0.00101,                0.00101,                0.00101
                     28,                0.80588,                0.49517,                 1.0208,                0.89568,                0.91926,                0.95587,                0.75486,                0.83983,                 0.5407,                 1.0979,              0.0009704,              0.0009704,              0.0009704
                     29,                0.78228,                0.48435,                 1.0211,                0.93914,                0.87874,                0.95364,                0.74794,                 0.8085,                0.53977,                 1.0736,              0.0009308,              0.0009308,              0.0009308
                     30,                0.78698,                0.48116,                 1.0119,                0.92727,                0.90032,                0.95962,                0.76569,                0.83059,                0.51584,                 1.0822,              0.0008912,              0.0008912,              0.0008912
                     31,                0.75586,                0.46112,                 1.0064,                0.91084,                0.92711,                0.95933,                0.75984,                 0.8063,                0.51489,                 1.0828,              0.0008516,              0.0008516,              0.0008516
                     32,                0.75739,                 0.4601,                0.99966,                0.93652,                 0.8738,                0.95731,                 0.7672,                0.79372,                0.52644,                 1.0705,               0.000812,               0.000812,               0.000812
                     33,                0.74556,                0.44237,                0.99303,                 0.9444,                0.89294,                0.95975,                0.75751,                0.83579,                0.53406,                 1.0815,              0.0007724,              0.0007724,              0.0007724
                     34,                0.74799,                0.43265,                0.99342,                0.92232,                0.89522,                0.96227,                0.76723,                 0.8146,                0.51676,                 1.0825,              0.0007328,              0.0007328,              0.0007328
                     35,                0.72547,                0.44023,                0.99269,                0.90233,                0.92255,                0.96303,                0.77409,                 0.8009,                0.49833,                 1.0632,              0.0006932,              0.0006932,              0.0006932
                     36,                0.71498,                0.42316,                0.98232,                0.91018,                0.91116,                0.95836,                0.77769,                0.80149,                0.50125,                 1.0674,              0.0006536,              0.0006536,              0.0006536
                     37,                0.70792,                0.42467,                0.97338,                0.88651,                0.94303,                0.95784,                0.75441,                0.79503,                0.48967,                 1.0737,               0.000614,               0.000614,               0.000614
                     38,                0.70791,                0.41826,                0.97861,                0.92356,                0.89749,                0.95895,                0.76944,                0.81476,                0.50477,                 1.0783,              0.0005744,              0.0005744,              0.0005744
                     39,                0.69931,                0.42489,                0.98414,                 0.9237,                0.90999,                0.96128,                0.77218,                0.79085,                0.49748,                 1.0626,              0.0005348,              0.0005348,              0.0005348
                     40,                0.67593,                0.39374,                0.96087,                0.90872,                 0.9071,                 0.9524,                0.77332,                0.80395,                0.52652,                 1.0748,              0.0004952,              0.0004952,              0.0004952
                     41,                0.64068,                0.35129,                0.94862,                0.91497,                0.90433,                0.95516,                0.76961,                0.77394,                0.49726,                 1.0503,              0.0004556,              0.0004556,              0.0004556
                     42,                0.62104,                0.34289,                0.93377,                0.93379,                0.90661,                 0.9596,                0.77666,                0.80138,                0.50045,                 1.0522,               0.000416,               0.000416,               0.000416
                     43,                0.60375,                0.33861,                0.92505,                0.92337,                0.90583,                0.95823,                0.78817,                 0.7649,                0.50196,                 1.0499,              0.0003764,              0.0003764,              0.0003764
                     44,                 0.6009,                0.32389,                0.92285,                0.91833,                0.91116,                0.95951,                0.78793,                0.77101,                0.49763,                 1.0548,              0.0003368,              0.0003368,              0.0003368
                     45,                0.59544,                0.32627,                0.92502,                0.94009,                0.89366,                0.95884,                0.78699,                0.78285,                0.48811,                 1.0572,              0.0002972,              0.0002972,              0.0002972
                     46,                0.58424,                0.31767,                  0.921,                0.90577,                0.91116,                0.96019,                0.78065,                 0.7931,                0.48836,                 1.0623,              0.0002576,              0.0002576,              0.0002576
                     47,                0.57036,                0.30835,                0.91768,                0.91448,                0.90433,                0.96127,                0.78612,                0.77481,                0.49507,                 1.0446,               0.000218,               0.000218,               0.000218
                     48,                0.55499,                 0.3054,                0.90952,                0.93368,                0.89749,                 0.9623,                0.78685,                0.77748,                0.47752,                 1.0523,              0.0001784,              0.0001784,              0.0001784
                     49,                0.54477,                0.29131,                0.90465,                0.94149,                0.88838,                0.96286,                 0.7914,                0.76494,                0.47781,                 1.0486,              0.0001388,              0.0001388,              0.0001388
                     50,                0.53153,                0.28694,                0.89879,                0.90826,                0.92483,                0.96289,                 0.7934,                0.76552,                0.47107,                 1.0515,               9.92e-05,               9.92e-05,               9.92e-05
